snapshot_date,Shanghai Composite,Shenzhen Component,CSI 300,S&P 500,NASDAQ Composite,FTSE 100,Hang Seng
1990-01-02,,,,359.69000244140625,459.29998779296875,2434.10009765625,2838.10009765625
1990-01-03,,,,358.760009765625,460.8999938964844,2463.699951171875,2858.699951171875
1990-01-04,,,,355.6700134277344,459.3999938964844,2451.60009765625,2868.0
1990-01-05,,,,352.20001220703125,458.20001220703125,2444.5,2839.89990234375
1990-01-08,,,,353.7900085449219,458.70001220703125,2431.300048828125,2816.0
1990-01-09,,,,349.6199951171875,456.79998779296875,2436.300048828125,2822.0
1990-01-10,,,,347.30999755859375,450.70001220703125,2412.60009765625,2868.0
1990-01-11,,,,348.5299987792969,448.8999938964844,2417.89990234375,2855.0
1990-01-12,,,,339.92999267578125,439.70001220703125,2380.10009765625,2835.0
1990-01-15,,,,337.0,436.6000061035156,2366.199951171875,2788.60009765625
1990-01-16,,,,340.75,440.20001220703125,2349.10009765625,2751.800048828125
1990-01-17,,,,337.3999938964844,438.70001220703125,2373.89990234375,2754.800048828125
1990-01-18,,,,338.19000244140625,437.5,2336.89990234375,2771.699951171875
1990-01-19,,,,339.1499938964844,440.8999938964844,2335.0,2776.300048828125
1990-01-22,,,,330.3800048828125,431.8999938964844,2297.10009765625,2771.699951171875
1990-01-23,,,,331.6099853515625,430.3999938964844,2291.10009765625,2762.5
1990-01-24,,,,330.260009765625,425.70001220703125,2278.60009765625,2756.39990234375
1990-01-25,,,,326.0799865722656,425.20001220703125,2289.89990234375,2768.89990234375
1990-01-26,,,,325.79998779296875,421.29998779296875,2314.5,
1990-01-29,,,,325.20001220703125,418.1000061035156,2328.800048828125,
1990-01-30,,,,322.9800109863281,410.70001220703125,2322.0,2760.800048828125
1990-01-31,,,,329.0799865722656,415.79998779296875,2337.300048828125,2751.60009765625
1990-02-01,,,,328.7900085449219,417.79998779296875,2345.800048828125,2738.199951171875
1990-02-02,,,,330.9200134277344,422.20001220703125,2355.10009765625,2736.60009765625
1990-02-05,,,,331.8500061035156,424.70001220703125,2348.39990234375,2756.60009765625
1990-02-06,,,,329.6600036621094,424.0,2321.10009765625,2792.0
1990-02-07,,,,333.75,426.79998779296875,2307.39990234375,2844.800048828125
1990-02-08,,,,332.9599914550781,427.29998779296875,2331.0,2903.800048828125
1990-02-09,,,,333.6199951171875,428.79998779296875,2313.60009765625,2893.89990234375
1990-02-12,,,,330.0799865722656,426.3999938964844,2286.89990234375,2894.699951171875
1990-02-13,,,,331.0199890136719,425.79998779296875,2293.199951171875,2863.60009765625
1990-02-14,,,,332.010009765625,426.6000061035156,2298.300048828125,2870.39990234375
1990-02-15,,,,334.8900146484375,429.6000061035156,2313.800048828125,2910.0
1990-02-16,,,,332.7200012207031,429.0,2325.89990234375,2939.300048828125
1990-02-19,,,,,,2297.10009765625,2968.0
1990-02-20,,,,327.989990234375,423.79998779296875,2277.0,2980.0
1990-02-21,,,,327.6700134277344,421.5,2259.699951171875,2862.300048828125
1990-02-22,,,,325.70001220703125,422.79998779296875,2269.199951171875,2927.89990234375
1990-02-23,,,,324.1499938964844,419.5,2223.699951171875,2894.300048828125
1990-02-26,,,,328.6700134277344,421.0,2249.300048828125,2872.60009765625
1990-02-27,,,,330.260009765625,422.6000061035156,2254.800048828125,2932.60009765625
1990-02-28,,,,331.8900146484375,425.79998779296875,2255.39990234375,2952.0
1990-03-01,,,,332.739990234375,427.20001220703125,2238.39990234375,2933.10009765625
1990-03-02,,,,335.5400085449219,431.0,2254.800048828125,2937.0
1990-03-05,,,,333.739990234375,430.20001220703125,2230.5,2938.0
1990-03-06,,,,337.92999267578125,432.29998779296875,2216.0,2933.0
1990-03-07,,,,336.95001220703125,432.5,2230.300048828125,2926.0
1990-03-08,,,,340.2699890136719,436.5,2250.0,2915.0
